Hotel_ID,Hotel_Name,Hotel_Cluster,Restaurant_ID,Venue,Restaurant_Cluster,Planning_Travel_Band,Meal_Type,Romantic_Score,Data_Status
PFO-H001,Elysium Hotel,C01,PFO-R001,Epicurean Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H001,Elysium Hotel,C01,PFO-R002,Mediterraneo Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-R003,O'Shin Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H001,Elysium Hotel,C01,PFO-R004,Amorosa Restaurant,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H001,Elysium Hotel,C01,PFO-R005,Ouranos,C01,0–15 min,Dinner / Drinks,10,Verified
PFO-H001,Elysium Hotel,C01,PFO-R006,Mediterraneo,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-R007,Notios Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-R008,Ouzeri,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H001,Elysium Hotel,C01,PFO-R009,Mosaics,C01,0–15 min,Breakfast / Dinner,8,Verified
PFO-H001,Elysium Hotel,C01,PFO-R010,Eauzone,C01,0–15 min,Light Lunch / Drinks,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-R011,Petradaki Tavern,C04,30–45 min,Lunch / Dinner,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-R012,Yiannis Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H001,Elysium Hotel,C01,PFO-R013,To Stekki Tou Panai,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H001,Elysium Hotel,C01,PFO-R014,Phinikas Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H001,Elysium Hotel,C01,PFO-R018,Pithari Tavern,C02,15–30 min,Dinner,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-R020,Petradaki Winery Experience / Sunday Lunch,C04,30–45 min,Sunday Lunch / Wine,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-R021,Golf Clubhouse Restaurant,C02,15–30 min,Breakfast / Lunch / Dinner,9,Verified
PFO-H002,Annabelle,C01,PFO-R001,Epicurean Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H002,Annabelle,C01,PFO-R002,Mediterraneo Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H002,Annabelle,C01,PFO-R003,O'Shin Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H002,Annabelle,C01,PFO-R004,Amorosa Restaurant,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H002,Annabelle,C01,PFO-R005,Ouranos,C01,0–15 min,Dinner / Drinks,10,Verified
PFO-H002,Annabelle,C01,PFO-R006,Mediterraneo,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H002,Annabelle,C01,PFO-R007,Notios Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H002,Annabelle,C01,PFO-R008,Ouzeri,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H002,Annabelle,C01,PFO-R009,Mosaics,C01,0–15 min,Breakfast / Dinner,8,Verified
PFO-H002,Annabelle,C01,PFO-R010,Eauzone,C01,0–15 min,Light Lunch / Drinks,9,Verified
PFO-H002,Annabelle,C01,PFO-R011,Petradaki Tavern,C04,30–45 min,Lunch / Dinner,9,Verified
PFO-H002,Annabelle,C01,PFO-R012,Yiannis Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H002,Annabelle,C01,PFO-R013,To Stekki Tou Panai,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H002,Annabelle,C01,PFO-R014,Phinikas Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H002,Annabelle,C01,PFO-R018,Pithari Tavern,C02,15–30 min,Dinner,9,Verified
PFO-H002,Annabelle,C01,PFO-R020,Petradaki Winery Experience / Sunday Lunch,C04,30–45 min,Sunday Lunch / Wine,9,Verified
PFO-H002,Annabelle,C01,PFO-R021,Golf Clubhouse Restaurant,C02,15–30 min,Breakfast / Lunch / Dinner,9,Verified
PFO-H003,Almyra,C01,PFO-R001,Epicurean Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H003,Almyra,C01,PFO-R002,Mediterraneo Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H003,Almyra,C01,PFO-R003,O'Shin Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H003,Almyra,C01,PFO-R004,Amorosa Restaurant,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H003,Almyra,C01,PFO-R005,Ouranos,C01,0–15 min,Dinner / Drinks,10,Verified
PFO-H003,Almyra,C01,PFO-R006,Mediterraneo,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H003,Almyra,C01,PFO-R007,Notios Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H003,Almyra,C01,PFO-R008,Ouzeri,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H003,Almyra,C01,PFO-R009,Mosaics,C01,0–15 min,Breakfast / Dinner,8,Verified
PFO-H003,Almyra,C01,PFO-R010,Eauzone,C01,0–15 min,Light Lunch / Drinks,9,Verified
PFO-H003,Almyra,C01,PFO-R011,Petradaki Tavern,C04,30–45 min,Lunch / Dinner,9,Verified
PFO-H003,Almyra,C01,PFO-R012,Yiannis Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H003,Almyra,C01,PFO-R013,To Stekki Tou Panai,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H003,Almyra,C01,PFO-R014,Phinikas Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H003,Almyra,C01,PFO-R018,Pithari Tavern,C02,15–30 min,Dinner,9,Verified
PFO-H003,Almyra,C01,PFO-R020,Petradaki Winery Experience / Sunday Lunch,C04,30–45 min,Sunday Lunch / Wine,9,Verified
PFO-H003,Almyra,C01,PFO-R021,Golf Clubhouse Restaurant,C02,15–30 min,Breakfast / Lunch / Dinner,9,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R001,Epicurean Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R002,Mediterraneo Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R003,O'Shin Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R004,Amorosa Restaurant,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R005,Ouranos,C01,0–15 min,Dinner / Drinks,10,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R006,Mediterraneo,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R007,Notios Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R008,Ouzeri,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R009,Mosaics,C01,0–15 min,Breakfast / Dinner,8,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R010,Eauzone,C01,0–15 min,Light Lunch / Drinks,9,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R011,Petradaki Tavern,C04,30–45 min,Lunch / Dinner,9,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R012,Yiannis Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R013,To Stekki Tou Panai,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R014,Phinikas Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R018,Pithari Tavern,C02,15–30 min,Dinner,9,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R020,Petradaki Winery Experience / Sunday Lunch,C04,30–45 min,Sunday Lunch / Wine,9,Verified
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,PFO-R021,Golf Clubhouse Restaurant,C02,15–30 min,Breakfast / Lunch / Dinner,9,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R001,Epicurean Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R002,Mediterraneo Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R003,O'Shin Restaurant,C01,0–15 min,Dinner,8,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R004,Amorosa Restaurant,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R005,Ouranos,C01,0–15 min,Dinner / Drinks,10,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R006,Mediterraneo,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R007,Notios Restaurant,C01,0–15 min,Lunch / Dinner,9,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R008,Ouzeri,C01,0–15 min,Lunch / Dinner,10,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R009,Mosaics,C01,0–15 min,Breakfast / Dinner,8,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R010,Eauzone,C01,0–15 min,Light Lunch / Drinks,9,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R011,Petradaki Tavern,C04,30–45 min,Lunch / Dinner,9,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R012,Yiannis Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H005,Azia Resort & Spa,C01,PFO-R013,To Stekki Tou Panai,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H005,Azia Resort & Spa,C01,PFO-R014,Phinikas Tavern,C04,30–45 min,Lunch / Dinner,8,Draft
PFO-H005,Azia Resort & Spa,C01,PFO-R018,Pithari Tavern,C02,15–30 min,Dinner,9,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R020,Petradaki Winery Experience / Sunday Lunch,C04,30–45 min,Sunday Lunch / Wine,9,Verified
PFO-H005,Azia Resort & Spa,C01,PFO-R021,Golf Clubhouse Restaurant,C02,15–30 min,Breakfast / Lunch / Dinner,9,Verified
