activity_id,name,cluster_id,category,subcategory,data_status,romantic_score,authentic_score,duration_min,area,payload_json
PFO-A001,Fyti Weaving Workshop with Local Weaver,C07,Authentic Cyprus,Traditional Craft Workshop,Verified,10,10,120,Fyti,"{""Activity_ID"": ""PFO-A001"", ""Activity_Name"": ""Fyti Weaving Workshop with Local Weaver"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Traditional Craft Workshop"", ""District"": ""Paphos"", ""Area"": ""Fyti"", ""Full_Address_or_Access_Point"": ""Museum of Fyti Weaving, Fyti Village"", ""Website"": ""https://www.visitpafos.org.cy/events/fyti-weaving-workshops-with-mrs-diamanto/var/ri-3.l-L1"", ""Phone"": ""+357 99 372 966"", ""Opening_Days"": ""Selected 2026 workshop dates"", ""Opening_Hours"": ""2026 dates include Aug 23, Sep 6 & 20, Oct 11; confirm registration time directly"", ""Typical_Duration_Min"": 120, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Authentic Cyprus"", ""Accessibility_or_Access_Notes"": ""Advance registration; date-specific activity"", ""Source_Primary"": ""https://www.visitpafos.org.cy/events/fyti-weaving-workshops-with-mrs-diamanto/var/ri-3.l-L1"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/fyti-weaving-museum/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Experiences"", ""Source_Record_ID"": ""MASTER:PFO-A001"", ""Notes"": ""Highly differentiated hands-on experience. Treat as seasonal/event inventory, not a daily attraction."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""Operator confirmation/booking required; no safe automatic time window."", ""Time_Slot_Usable"": ""No""}"
PFO-A002,Aphrodite Delights – Loukoumi Geroskipou Visit,C02,Authentic Cyprus,Local Product / PGI Tasting,Verified,9,10,45,Geroskipou,"{""Activity_ID"": ""PFO-A002"", ""Activity_Name"": ""Aphrodite Delights – Loukoumi Geroskipou Visit"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Local Product / PGI Tasting"", ""District"": ""Paphos"", ""Area"": ""Geroskipou"", ""Full_Address_or_Access_Point"": ""Old Factory Shop, 57 Makarios Avenue, Geroskipou 8200"", ""Website"": ""https://www.aphroditedelights.com/"", ""Phone"": ""+357 26 962212"", ""Opening_Days"": ""Monday–Sunday"", ""Opening_Hours"": ""Mon–Sat 08:00–21:00; Sun 10:00–21:00"", ""Typical_Duration_Min"": 45, ""Price_Range"": ""€"", ""Booking_Required"": ""No"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Sunset_Suitable"": ""No"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Food & Wine / Authentic Cyprus"", ""Best_Time_of_Day"": ""Afternoon"", ""Weather_Sensitivity"": ""Weather independent"", ""Accessibility_or_Access_Notes"": ""Factory visit bookable separately"", ""Source_Primary"": ""https://www.aphroditedelights.com/"", ""Source_Secondary"": ""https://www.aphroditedelights.com/book-your-visit.php"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Final official-source enrichment"", ""Source_Record_ID"": ""MASTER:PFO-A002"", ""Notes"": ""PGI Loukoumi Geroskipou and other local products."", ""Parsed_Open_Time"": 0.3333333333333333, ""Parsed_Close_Time"": 0.875, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 08:00 to 21:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A003,Ineia Village Centre & Basket-Weaving Heritage,C04,Authentic Cyprus,Traditional Village / Craft,Verified,9,10,75,Ineia,"{""Activity_ID"": ""PFO-A003"", ""Activity_Name"": ""Ineia Village Centre & Basket-Weaving Heritage"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Traditional Village / Craft"", ""District"": ""Paphos"", ""Area"": ""Ineia"", ""Full_Address_or_Access_Point"": ""Ineia village centre, Paphos"", ""Website"": ""https://www.visitpafos.org.cy/?page_id=8513"", ""Opening_Days"": ""Village open; museum/craft hours vary"", ""Opening_Hours"": ""Daylight"", ""Typical_Duration_Min"": 75, ""Price_Range"": ""Free"", ""Booking_Required"": ""No"", ""Indoor_Outdoor_Both"": ""Both"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Conditional"", ""Heatwave_Suitable"": ""Conditional"", ""Sunset_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Authentic Cyprus"", ""Best_Time_of_Day"": ""Morning / late afternoon"", ""Accessibility_or_Access_Notes"": ""Paved square, old olive mill, views toward Akamas"", ""Source_Primary"": ""https://www.visitpafos.org.cy/?page_id=8513"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/the-real-thing/?lang=el"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""New Research"", ""Source_Record_ID"": ""MASTER:PFO-A003"", ""Notes"": ""Strong village/craft component; pair with basket-weaving museum when open."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""No explicit clock range; daylight/open-landmark logic only."", ""Time_Slot_Usable"": ""No""}"
PFO-A004,Lemba Pottery Private Lesson,C04,Authentic Cyprus,Pottery / Ceramics Workshop,Verified,10,10,90,Lemba,"{""Activity_ID"": ""PFO-A004"", ""Activity_Name"": ""Lemba Pottery Private Lesson"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Pottery / Ceramics Workshop"", ""District"": ""Paphos"", ""Area"": ""Lemba"", ""Full_Address_or_Access_Point"": ""18 Eleftherias Street, Lemba 8260, Paphos"", ""Website"": ""https://www.lembapottery.com/"", ""Phone"": ""+357 26 270822 / +357 99 683605"", ""Opening_Days"": ""Monday–Friday"", ""Opening_Hours"": ""10:00–13:00; 16:00–19:00"", ""Typical_Duration_Min"": 90, ""Price_Range"": ""€€"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Sunset_Suitable"": ""No"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Creative / Authentic Cyprus"", ""Best_Time_of_Day"": ""Afternoon"", ""Weather_Sensitivity"": ""Weather independent"", ""Accessibility_or_Access_Notes"": ""Call ahead; weekends closed"", ""Source_Primary"": ""https://www.lembapottery.com/"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/?page_id=8524"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Final official-source enrichment"", ""Source_Record_ID"": ""MASTER:PFO-A004"", ""Notes"": ""Private wheel throwing or hand-building."", ""Parsed_Open_Time"": 0.4166666666666667, ""Parsed_Close_Time"": 0.7916666666666666, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 10:00 to 19:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A005,Lysos Maxiles Traditional Fig Heritage,C07,Authentic Cyprus,Local Food Heritage,Draft,8,10,45,Lysos,"{""Activity_ID"": ""PFO-A005"", ""Activity_Name"": ""Lysos Maxiles Traditional Fig Heritage"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Local Food Heritage"", ""District"": ""Paphos"", ""Area"": ""Lysos"", ""Full_Address_or_Access_Point"": ""Lysos village, Paphos"", ""Website"": ""https://www.visitpafos.org.cy/wp-content/uploads/2018/06/Gastronomy.pdf"", ""Opening_Days"": ""Seasonal/local availability"", ""Opening_Hours"": ""Confirm local producer/café before booking"", ""Typical_Duration_Min"": 45, ""Price_Range"": ""€"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor / Outdoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Sunset_Suitable"": ""No"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Food & Wine"", ""Best_Time_of_Day"": ""Daytime"", ""Accessibility_or_Access_Notes"": ""Local producer/serving point must be verified per itinerary date"", ""Source_Primary"": ""https://www.visitpafos.org.cy/wp-content/uploads/2018/06/Gastronomy.pdf"", ""Source_Secondary"": ""https://marmaras-lysos.com/el/%CF%83%CF%87%CE%B5%CF%84%CE%B9%CE%BA%CE%B1-%CE%BC%CE%B5-%CE%B5%CE%BC%CE%B1%CF%83/"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft"", ""Source_Sheet"": ""New Research"", ""Source_Record_ID"": ""MASTER:PFO-A005"", ""Notes"": ""Maxiles are dried figs traditionally associated with Lysos; excellent authentic food story once a current provider is verified."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""Operator confirmation/booking required; no safe automatic time window."", ""Time_Slot_Usable"": ""No""}"
PFO-A006,"The Place – Arts, Cypriot Crafts & Traditions Creative Experience",C01,Authentic Cyprus,Creative Tourism / Crafts,Draft,9,10,90,Old Town Pafos,"{""Activity_ID"": ""PFO-A006"", ""Activity_Name"": ""The Place – Arts, Cypriot Crafts & Traditions Creative Experience"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Creative Tourism / Crafts"", ""District"": ""Paphos"", ""Area"": ""Old Town Pafos"", ""Full_Address_or_Access_Point"": ""Old Town Pafos"", ""Website"": ""https://www.visitpafos.org.cy/?page_id=26755"", ""Opening_Days"": ""Operating details to confirm directly"", ""Opening_Hours"": ""Operating details not published in ETAP cultural-heritage page"", ""Typical_Duration_Min"": 90, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Authentic Cyprus"", ""Accessibility_or_Access_Notes"": ""Exact current hours/booking require direct verification"", ""Source_Primary"": ""https://www.visitpafos.org.cy/?page_id=26755"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/?page_id=8524"", ""Last_Verified"": 46259, ""Data_Status"": ""Draft"", ""Source_Sheet"": ""Experiences"", ""Source_Record_ID"": ""MASTER:PFO-A006"", ""Notes"": ""ETAP highlights it as a place to meet craftspeople and create an artwork with a trained local craftsperson; keep Draft until direct operator hours are confirmed."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""Operator confirmation/booking required; no safe automatic time window."", ""Time_Slot_Usable"": ""No""}"
PFO-A007,Panagia Embroidery / Knitting / Weaving Workshop – Iliada Christodoulou,C09,Authentic Cyprus,Traditional Craft Workshop,Verified,9,10,120,Panagia,"{""Activity_ID"": ""PFO-A007"", ""Activity_Name"": ""Panagia Embroidery / Knitting / Weaving Workshop – Iliada Christodoulou"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Traditional Craft Workshop"", ""District"": ""Paphos"", ""Area"": ""Panagia"", ""Full_Address_or_Access_Point"": ""23 Independence Street, Panagia"", ""Website"": ""https://www.visitpafos.org.cy/events/panayia-workshops-from-21-06-04-10/?lang=de&var=ri-9.l-L1"", ""Phone"": ""+357 97 644 656"", ""Opening_Days"": ""Selected dates Jun–Aug 2026"", ""Opening_Hours"": ""Published remaining date after 25 Aug: Aug 30 15:00–17:00"", ""Typical_Duration_Min"": 120, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Authentic Cyprus"", ""Accessibility_or_Access_Notes"": ""Date-specific"", ""Source_Primary"": ""https://www.visitpafos.org.cy/events/panayia-workshops-from-21-06-04-10/?lang=de&var=ri-9.l-L1"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Experiences"", ""Source_Record_ID"": ""MASTER:PFO-A007"", ""Notes"": ""Hands-on craft option; maintain as seasonal event inventory."", ""Parsed_Open_Time"": 0.625, ""Parsed_Close_Time"": 0.7083333333333334, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 15:00 to 17:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A008,Panagia Embroidery / Knitting / Weaving Workshop – Maria Nikolaou,C09,Authentic Cyprus,Traditional Craft Workshop,Verified,9,10,120,Panagia,"{""Activity_ID"": ""PFO-A008"", ""Activity_Name"": ""Panagia Embroidery / Knitting / Weaving Workshop – Maria Nikolaou"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Traditional Craft Workshop"", ""District"": ""Paphos"", ""Area"": ""Panagia"", ""Full_Address_or_Access_Point"": ""6 Dikaiosynis Street, Panagia"", ""Website"": ""https://www.visitpafos.org.cy/events/panayia-workshops-from-21-06-04-10/?lang=de&var=ri-9.l-L1"", ""Phone"": ""+357 99 121 826"", ""Opening_Days"": ""Selected dates Jun–Oct 2026"", ""Opening_Hours"": ""Upcoming published dates after 25 Aug: Aug 30 12:00–14:00; Sep 6/20/27 & Oct 4 13:00–15:00"", ""Typical_Duration_Min"": 120, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Authentic Cyprus"", ""Accessibility_or_Access_Notes"": ""Date-specific"", ""Source_Primary"": ""https://www.visitpafos.org.cy/events/panayia-workshops-from-21-06-04-10/?lang=de&var=ri-9.l-L1"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Experiences"", ""Source_Record_ID"": ""MASTER:PFO-A008"", ""Notes"": ""Traditional craft experience with multiple remaining 2026 dates."", ""Parsed_Open_Time"": 0.5, ""Parsed_Close_Time"": 0.625, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 12:00 to 15:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A009,Panagia Traditional Cooking Class – Souzana Michael,C09,Authentic Cyprus,Cooking Workshop,Verified,10,10,120,Panagia,"{""Activity_ID"": ""PFO-A009"", ""Activity_Name"": ""Panagia Traditional Cooking Class – Souzana Michael"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Cooking Workshop"", ""District"": ""Paphos"", ""Area"": ""Panagia"", ""Full_Address_or_Access_Point"": ""12 Georgiou Michail Street, Panagia"", ""Website"": ""https://www.visitpafos.org.cy/events/panayia-workshops-from-21-06-04-10/?lang=de&var=ri-9.l-L1"", ""Phone"": ""+357 99 193 581"", ""Opening_Days"": ""Selected dates Jun–Oct 2026"", ""Opening_Hours"": ""Upcoming published dates after 25 Aug: Aug 30 09:00–11:00; Sep 6/20/27 and Oct 4 10:00–12:00"", ""Typical_Duration_Min"": 120, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Food & Wine"", ""Accessibility_or_Access_Notes"": ""Date-specific; advance contact essential"", ""Source_Primary"": ""https://www.visitpafos.org.cy/events/panayia-workshops-from-21-06-04-10/?lang=de&var=ri-9.l-L1"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/newsevents/?lang=de"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified"", ""Source_Sheet"": ""Experiences"", ""Source_Record_ID"": ""MASTER:PFO-A009"", ""Notes"": ""Excellent authentic-gastronomy experience for couples; seasonal 2026 workshop programme."", ""Parsed_Open_Time"": 0.375, ""Parsed_Close_Time"": 0.5, ""Time_Parse_Confidence"": ""MEDIUM"", ""Time_Parse_Note"": ""Parsed explicit range from text: 09:00 to 12:00. Seasonal/multiple-session details may still require recheck."", ""Time_Slot_Usable"": ""Yes""}"
PFO-A010,Avgoustinos Pottery Workshop Visit / Clay Experience,C02,Authentic Cyprus,Pottery / Ceramics Workshop,Needs Recheck,10,10,90,Paphos / Geroskipou area,"{""Activity_ID"": ""PFO-A010"", ""Activity_Name"": ""Avgoustinos Pottery Workshop Visit / Clay Experience"", ""Category"": ""Authentic Cyprus"", ""Subcategory"": ""Pottery / Ceramics Workshop"", ""District"": ""Paphos"", ""Area"": ""Paphos / Geroskipou area"", ""Full_Address_or_Access_Point"": ""Paphos District; exact current address to confirm"", ""Website"": ""https://www.avgoustinospottery.com/"", ""Opening_Days"": ""By arrangement"", ""Opening_Hours"": ""Exact hours not published"", ""Typical_Duration_Min"": 90, ""Price_Range"": ""Unknown"", ""Booking_Required"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Summer_Suitable"": ""Yes"", ""Winter_Suitable"": ""Yes"", ""Rain_Suitable"": ""Yes"", ""Heatwave_Suitable"": ""Yes"", ""Sunset_Suitable"": ""No"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 10, ""Couple_Style"": ""Creative / Authentic Cyprus"", ""Best_Time_of_Day"": ""Daytime"", ""Weather_Sensitivity"": ""Weather independent"", ""Accessibility_or_Access_Notes"": ""Confirm logistics directly"", ""Source_Primary"": ""https://www.avgoustinospottery.com/"", ""Source_Secondary"": ""https://www.visitpafos.org.cy/?page_id=8524"", ""Last_Verified"": 46259, ""Data_Status"": ""Needs Recheck"", ""Source_Sheet"": ""Final official-source enrichment"", ""Source_Record_ID"": ""MASTER:PFO-A010"", ""Notes"": ""Official operator invites visitors to watch/try clay."", ""Time_Parse_Confidence"": ""LOW"", ""Time_Parse_Note"": ""Operator confirmation/booking required; no safe automatic time window."", ""Time_Slot_Usable"": ""No""}"
