hotel_id,name,cluster_id,status,romantic_score,cleanliness_score,area,payload_json
PFO-H001,Elysium Hotel,C01,QUALIFIED,,,Kato Paphos,"{""Hotel_ID"": ""PFO-H001"", ""Hotel_Name"": ""Elysium Hotel"", ""Area"": ""Kato Paphos"", ""Hotel_Type"": ""Luxury beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Elysium Beach Resort"", ""Official_Website"": ""https://www.elysium-hotel.com"", ""Phone"": ""+357 26 844444"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.5, ""Cleanliness_Score_10"": 9.7, ""Review_Count_or_Evidence"": ""~2,893 reviews"", ""Landscape_Type"": ""Mediterranean sea + landscaped grounds + sunset"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Exceptional cleanliness, sea/sunset setting and strong service reputation"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/elysium-paphos.html"", ""Official_Source"": ""https://www.elysium-hotel.com"", ""Last_Verified"": 46259, ""Notes"": ""One of the strongest all-round romantic choices.""}"
PFO-H002,Annabelle,C01,QUALIFIED,,,Kato Paphos,"{""Hotel_ID"": ""PFO-H002"", ""Hotel_Name"": ""Annabelle"", ""Area"": ""Kato Paphos"", ""Hotel_Type"": ""Luxury beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Annabelle"", ""Official_Website"": ""https://www.annabelle.com.cy"", ""Phone"": ""+357 26 885000"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9, ""Cleanliness_Score_10"": 9.3, ""Review_Count_or_Evidence"": ""~1,275 reviews"", ""Landscape_Type"": ""Harbour + Mediterranean + tropical gardens + waterfalls"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""High cleanliness, exceptional location and mature landscaped setting"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/annabelle.html"", ""Official_Source"": ""https://www.annabelle.com.cy"", ""Last_Verified"": 46259, ""Notes"": ""Strong harbour/garden atmosphere.""}"
PFO-H003,Almyra,C01,QUALIFIED,,,Kato Paphos,"{""Hotel_ID"": ""PFO-H003"", ""Hotel_Name"": ""Almyra"", ""Area"": ""Kato Paphos"", ""Hotel_Type"": ""Luxury design beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Almyra"", ""Official_Website"": ""https://www.almyra.com"", ""Phone"": ""+357 26 888700"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 8.8, ""Cleanliness_Score_10"": 9.2, ""Review_Count_or_Evidence"": ""~1,113 reviews"", ""Landscape_Type"": ""Mediterranean sea + tropical gardens"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Clean, design-led hotel with sea and garden views"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/almyra-paphos.html"", ""Official_Source"": ""https://www.almyra.com"", ""Last_Verified"": 46259, ""Notes"": ""Review score slightly below 9 but cleanliness and landscape are strong.""}"
PFO-H004,"Amavi, MadeForTwo Hotels – Paphos",C01,QUALIFIED,,,Kato Paphos,"{""Hotel_ID"": ""PFO-H004"", ""Hotel_Name"": ""Amavi, MadeForTwo Hotels – Paphos"", ""Area"": ""Kato Paphos"", ""Hotel_Type"": ""Couples-only luxury beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Amavi"", ""Official_Website"": ""https://kanikahotels.com/madefortwo-amavi-paphos/"", ""Phone"": ""+357 25 274590"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.5, ""Cleanliness_Score_10"": 9.7, ""Review_Count_or_Evidence"": ""~982 reviews"", ""Landscape_Type"": ""Direct Mediterranean sea views + beachfront"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""Yes"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Purpose-built for couples; exceptional cleanliness and sea views"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/amavi.html"", ""Official_Source"": ""https://kanikahotels.com/madefortwo-amavi-paphos/"", ""Last_Verified"": 46259, ""Notes"": ""Top romantic priority.""}"
PFO-H005,Azia Resort & Spa,C01,QUALIFIED,,,Chloraka,"{""Hotel_ID"": ""PFO-H005"", ""Hotel_Name"": ""Azia Resort & Spa"", ""Area"": ""Chloraka"", ""Hotel_Type"": ""Luxury seafront spa resort"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Azia Beach"", ""Official_Website"": ""https://aziaresort.com"", ""Phone"": ""+357 26 845100"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9, ""Cleanliness_Score_10"": 9.3, ""Review_Count_or_Evidence"": ""~578 reviews"", ""Landscape_Type"": ""Seafront + tropical gardens + wild coastal setting"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""Partial adults zones"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Strong cleanliness and green/nature atmosphere"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/azia-resort-and-spa.html"", ""Official_Source"": ""https://aziaresort.com"", ""Last_Verified"": 46259, ""Notes"": ""Good west-facing sunset potential.""}"
PFO-H006,Cap St Georges Hotel & Resort,C03,QUALIFIED,,,Agios Georgios Pegeia,"{""Hotel_ID"": ""PFO-H006"", ""Hotel_Name"": ""Cap St Georges Hotel & Resort"", ""Area"": ""Agios Georgios Pegeia"", ""Hotel_Type"": ""Luxury coastal resort"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Cap St Georges"", ""Official_Website"": ""https://www.capstgeorges.com"", ""Phone"": ""+357 26 000000"", ""Review_Platform"": ""Google/Booking recent reviews"", ""Review_Count_or_Evidence"": ""Google 4.7/5, 881 reviews; Booking reviews repeatedly praise impeccable cleanliness"", ""Landscape_Type"": ""Sea Caves / cliffs + Mediterranean + Akamas edge"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Very strong current reputation, dramatic natural coastline and repeated cleanliness praise"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/cap-st-georges-amp-resort.html"", ""Official_Source"": ""https://www.capstgeorges.com"", ""Last_Verified"": 46259, ""Notes"": ""Numeric cleanliness field not surfaced in current search, but recent verified reviews are strongly positive.""}"
PFO-H007,Thalassa Boutique Hotel & Spa,C03,QUALIFIED,,,Coral Bay / Pegeia,"{""Hotel_ID"": ""PFO-H007"", ""Hotel_Name"": ""Thalassa Boutique Hotel & Spa"", ""Area"": ""Coral Bay / Pegeia"", ""Hotel_Type"": ""Adults-oriented boutique beachfront"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Thalassa"", ""Official_Website"": ""https://thalassa.com.cy"", ""Phone"": ""+357 26 881500"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.4, ""Cleanliness_Score_10"": 9.5, ""Review_Count_or_Evidence"": ""~1,176 reviews"", ""Landscape_Type"": ""Small peninsula + Coral Bay + panoramic Mediterranean views"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""Yes / adults positioning"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""High cleanliness, exceptional sea setting and quiet romantic atmosphere"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/thalassa-boutique-spa.html"", ""Official_Source"": ""https://thalassa.com.cy"", ""Last_Verified"": 46259, ""Notes"": ""Excellent fit for romantic tourism.""}"
PFO-H008,Minthis Resort,C08,QUALIFIED,,,Tsada,"{""Hotel_ID"": ""PFO-H008"", ""Hotel_Name"": ""Minthis Resort"", ""Area"": ""Tsada"", ""Hotel_Type"": ""Luxury hill / vineyard resort"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Minthis"", ""Official_Website"": ""https://www.minthisresort.com"", ""Phone"": ""+357 26 842000"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.4, ""Cleanliness_Score_10"": 9.6, ""Review_Count_or_Evidence"": ""~843 reviews"", ""Landscape_Type"": ""Mountain plateau + vineyards + golf + wide valley views"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Exceptional cleanliness and one of the strongest inland landscapes in Paphos"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/minthis-resort.en-gb.html"", ""Official_Source"": ""https://www.minthisresort.com"", ""Last_Verified"": 46259, ""Notes"": ""Top inland romantic base.""}"
PFO-H009,Anassa,C05,QUALIFIED,,,Neo Chorio / Polis Chrysochous,"{""Hotel_ID"": ""PFO-H009"", ""Hotel_Name"": ""Anassa"", ""Area"": ""Neo Chorio / Polis Chrysochous"", ""Hotel_Type"": ""Luxury secluded beach resort"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Anassa"", ""Official_Website"": ""https://www.anassa.com"", ""Phone"": ""+357 26 888000"", ""Review_Platform"": ""Booking.com"", ""Review_Score_10"": 9.2, ""Cleanliness_Score_10"": 9.5, ""Review_Count_or_Evidence"": ""~329 reviews"", ""Landscape_Type"": ""Secluded hillside + Akamas + beach + Mediterranean"", ""Landscape_Value_1_10"": 10, ""Romantic_Suitability_1_10"": 10, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""High cleanliness and exceptional integration with natural landscape"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.booking.com/hotel/cy/anassa.en-gb.html"", ""Official_Source"": ""https://www.anassa.com"", ""Last_Verified"": 46259, ""Notes"": ""One of the best nature-luxury options in Cyprus.""}"
PFO-H010,Aphrodite Hills Hotel,C02,QUALIFIED,,,Kouklia / Aphrodite Hills,"{""Hotel_ID"": ""PFO-H010"", ""Hotel_Name"": ""Aphrodite Hills Hotel"", ""Area"": ""Kouklia / Aphrodite Hills"", ""Hotel_Type"": ""Luxury hill resort"", ""Current_Status"": ""Operating"", ""Former_or_Registry_Name"": ""Aphrodite Hills / Atlantica Aphrodite Hills Hotel"", ""Official_Website"": ""https://www.aphroditehills.com"", ""Phone"": ""+357 26 829000"", ""Review_Platform"": ""Google business"", ""Review_Count_or_Evidence"": ""4.5/5 from ~758 reviews"", ""Landscape_Type"": ""Hills + ravines + golf landscape + distant sea"", ""Landscape_Value_1_10"": 9, ""Romantic_Suitability_1_10"": 9, ""Adults_Only"": ""No"", ""Spa"": ""Yes"", ""Pool"": ""Yes"", ""Why_It_Qualifies"": ""Strong landscape value and solid current reputation"", ""Qualification_Status"": ""QUALIFIED"", ""Review_Source"": ""https://www.google.com/search?q=Aphrodite+Hills+Hotel+Paphos"", ""Official_Source"": ""https://www.aphroditehills.com"", ""Last_Verified"": 46259, ""Notes"": ""Keep under review because a direct Booking cleanliness subscore was not captured in this pass.""}"
