restaurant_id,name,cluster_id,data_status,area,meal_type,romantic_score,authentic_score,payload_json
PFO-R001,Epicurean Restaurant,C01,Verified,Kato Paphos,Dinner,8,6,"{""Restaurant_ID"": ""PFO-R001"", ""Venue_Name"": ""Epicurean Restaurant"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Elysium Hotel, Queen Verenikis Street, 8045 Paphos, Cyprus"", ""Website"": ""https://www.elysium-hotel.com/dining/epicurean-restaurant/"", ""Phone"": ""+357 26 844 444"", ""Meal_Type"": ""Dinner"", ""Cuisine"": ""International / themed buffet / à la carte"", ""Opening_Days"": ""Daily"", ""Opening_Hours"": ""Summer 19:00–23:00; Winter 18:30–22:30"", ""Dinner_Hours"": ""Summer 19:00–23:00; Winter 18:30–22:30"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""No"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 6, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.elysium-hotel.com/dining/epicurean-restaurant/"", ""Source_Secondary"": ""https://www.elysium-hotel.com/dining/dining-at-the-elysium/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R002,Mediterraneo Restaurant,C01,Verified,Kato Paphos,Lunch / Dinner,9,8,"{""Restaurant_ID"": ""PFO-R002"", ""Venue_Name"": ""Mediterraneo Restaurant"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Elysium Hotel, Queen Verenikis Street, 8045 Paphos, Cyprus"", ""Website"": ""https://www.elysium-hotel.com/dining/mediterraneo-restaurant/"", ""Phone"": ""+357 26 844 444"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Cypriot / Mediterranean"", ""Opening_Days"": ""May–October, weather permitting"", ""Opening_Hours"": ""Lunch 12:30–16:00; Dinner 19:30–23:30"", ""Lunch_Hours"": ""12:30–16:00"", ""Dinner_Hours"": ""19:30–23:30"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Dinner: Yes"", ""Indoor_Outdoor_Both"": ""Outdoor"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 8, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.elysium-hotel.com/dining/mediterraneo-restaurant/"", ""Source_Secondary"": ""https://www.elysium-hotel.com/dining/dining-at-the-elysium/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R003,O'Shin Restaurant,C01,Verified,Kato Paphos,Dinner,8,3,"{""Restaurant_ID"": ""PFO-R003"", ""Venue_Name"": ""O'Shin Restaurant"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Elysium Hotel, Queen Verenikis Street, 8045 Paphos, Cyprus"", ""Website"": ""https://www.elysium-hotel.com/dining/oshin-restaurant/"", ""Phone"": ""+357 26 844 444"", ""Meal_Type"": ""Dinner"", ""Cuisine"": ""Pan-Asian"", ""Opening_Days"": ""Check weekly restaurant schedule"", ""Opening_Hours"": ""Summer 19:30–23:30; Winter 19:00–23:30"", ""Dinner_Hours"": ""Summer 19:30–23:30; Winter 19:00–23:30"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 3, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.elysium-hotel.com/dining/oshin-restaurant/"", ""Source_Secondary"": ""https://www.elysium-hotel.com/dining/"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R004,Amorosa Restaurant,C01,Verified,Kato Paphos,Lunch / Dinner,10,5,"{""Restaurant_ID"": ""PFO-R004"", ""Venue_Name"": ""Amorosa Restaurant"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Annabelle, 12 Poseidonos Avenue, 8042 Pafos, Cyprus"", ""Website"": ""https://www.annabelle.com.cy/dine/amorosa-restaurant"", ""Phone"": ""+357 26 885 000"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Modern fine dining"", ""Opening_Days"": ""Current hotel schedule applies"", ""Opening_Hours"": ""Beverages 10:00–17:00; snacks 12:00–17:00; lunch 12:30–15:30; dinner 19:00–22:30"", ""Lunch_Hours"": ""12:30–15:30"", ""Dinner_Hours"": ""19:00–22:30"", ""Coffee_Dessert"": ""Yes"", ""Price_Range"": ""€€€€"", ""Reservation_Recommended"": ""Dinner: Yes"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 5, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.annabelle.com.cy/dine/amorosa-restaurant"", ""Source_Secondary"": ""https://www.annabelle.com.cy/dine"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R005,Ouranos,C01,Verified,Kato Paphos,Dinner / Drinks,10,4,"{""Restaurant_ID"": ""PFO-R005"", ""Venue_Name"": ""Ouranos"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Annabelle, 12 Poseidonos Avenue, 8042 Pafos, Cyprus"", ""Website"": ""https://www.annabelle.com.cy/dine/ouranos-lounge-bar"", ""Phone"": ""+357 26 885 000"", ""Meal_Type"": ""Dinner / Drinks"", ""Cuisine"": ""International sharing plates"", ""Opening_Days"": ""Current hotel schedule applies"", ""Opening_Hours"": ""Drinks 18:00–00:00; dinner 19:00–23:00"", ""Dinner_Hours"": ""19:00–23:00"", ""Coffee_Dessert"": ""Cocktails / drinks"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Yes"", ""Indoor_Outdoor_Both"": ""Indoor / Rooftop"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 4, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.annabelle.com.cy/dine/ouranos-lounge-bar"", ""Source_Secondary"": ""https://www.annabelle.com.cy/dine"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R006,Mediterraneo,C01,Verified,Kato Paphos,Lunch / Dinner,9,6,"{""Restaurant_ID"": ""PFO-R006"", ""Venue_Name"": ""Mediterraneo"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Annabelle, 12 Poseidonos Avenue, 8042 Pafos, Cyprus"", ""Website"": ""https://www.annabelle.com.cy/dine"", ""Phone"": ""+357 26 885 000"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Italian / Mediterranean"", ""Opening_Days"": ""Current hotel schedule applies"", ""Opening_Hours"": ""Beverages 10:00–17:00; lunch 12:00–17:00; dinner 19:00–22:30"", ""Lunch_Hours"": ""12:00–17:00"", ""Dinner_Hours"": ""19:00–22:30"", ""Coffee_Dessert"": ""Yes"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Outdoor"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 6, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.annabelle.com.cy/dine"", ""Source_Secondary"": ""https://www.annabelle.com.cy/fact-sheet"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R007,Notios Restaurant,C01,Verified,Kato Paphos,Lunch / Dinner,9,4,"{""Restaurant_ID"": ""PFO-R007"", ""Venue_Name"": ""Notios Restaurant"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Almyra, 12 Poseidonos Avenue, 8042 Paphos, Cyprus"", ""Website"": ""https://www.almyra.com/dine/notios-restaurant"", ""Phone"": ""+357 26 888 700"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Japanese-Mediterranean fusion"", ""Opening_Days"": ""Mar–Nov lunch; Apr–Nov dinner; dinner Sat–Wed; weather permitting"", ""Opening_Hours"": ""Open 10:00–18:00; lunch 12:00–16:00; dinner 18:30–22:00"", ""Lunch_Hours"": ""12:00–16:00"", ""Dinner_Hours"": ""18:30–22:00"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Outdoor"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 4, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.almyra.com/dine/notios-restaurant"", ""Source_Secondary"": ""https://www.almyra.com/dine"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R008,Ouzeri,C01,Verified,Kato Paphos,Lunch / Dinner,10,9,"{""Restaurant_ID"": ""PFO-R008"", ""Venue_Name"": ""Ouzeri"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Almyra, 12 Poseidonos Avenue, 8042 Paphos, Cyprus"", ""Website"": ""https://www.almyra.com/dine"", ""Phone"": ""+357 26 888 700"", ""Meal_Type"": ""Lunch / Dinner"", ""Cuisine"": ""Cypriot / Greek"", ""Opening_Days"": ""March–December, weather permitting"", ""Opening_Hours"": ""Open 10:00–23:00; lunch 12:30–16:30; dinner 18:30–22:30"", ""Lunch_Hours"": ""12:30–16:30"", ""Dinner_Hours"": ""18:30–22:30"", ""Coffee_Dessert"": ""Yes"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Outdoor"", ""Romantic_Score_1_10"": 10, ""Authentic_Cyprus_Score_1_10"": 9, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.almyra.com/dine"", ""Source_Secondary"": ""https://www.almyra.com/faq"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R009,Mosaics,C01,Verified,Kato Paphos,Breakfast / Dinner,8,5,"{""Restaurant_ID"": ""PFO-R009"", ""Venue_Name"": ""Mosaics"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Almyra, 12 Poseidonos Avenue, 8042 Paphos, Cyprus"", ""Website"": ""https://www.almyra.com/dine/mosaics-restaurant"", ""Phone"": ""+357 26 888 700"", ""Meal_Type"": ""Breakfast / Dinner"", ""Cuisine"": ""International / Mediterranean"", ""Opening_Days"": ""March–November on current dining page"", ""Opening_Hours"": ""Breakfast 07:00–10:30; dinner 18:30–21:30"", ""Dinner_Hours"": ""18:30–21:30"", ""Coffee_Dessert"": ""No"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Both"", ""Romantic_Score_1_10"": 8, ""Authentic_Cyprus_Score_1_10"": 5, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.almyra.com/dine/mosaics-restaurant"", ""Source_Secondary"": ""https://www.almyra.com/fact-sheet/de"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
PFO-R010,Eauzone,C01,Verified,Kato Paphos,Light Lunch / Drinks,9,4,"{""Restaurant_ID"": ""PFO-R010"", ""Venue_Name"": ""Eauzone"", ""District"": ""Paphos"", ""Area"": ""Kato Paphos"", ""Full_Address"": ""Almyra, 12 Poseidonos Avenue, 8042 Paphos, Cyprus"", ""Website"": ""https://www.almyra.com/dine/eauzone-restaurant"", ""Phone"": ""+357 26 888 700"", ""Meal_Type"": ""Light Lunch / Drinks"", ""Cuisine"": ""Healthy / light bites"", ""Opening_Days"": ""Summer only"", ""Opening_Hours"": ""10:00–18:00; snacks 12:00–18:00"", ""Lunch_Hours"": ""12:00–18:00"", ""Coffee_Dessert"": ""Yes"", ""Price_Range"": ""€€€"", ""Reservation_Recommended"": ""Recommended"", ""Indoor_Outdoor_Both"": ""Outdoor"", ""Romantic_Score_1_10"": 9, ""Authentic_Cyprus_Score_1_10"": 4, ""Hotel_or_Standalone"": ""Hotel"", ""Source_Primary"": ""https://www.almyra.com/dine/eauzone-restaurant"", ""Source_Secondary"": ""https://www.almyra.com/dine"", ""Last_Verified"": 46259, ""Data_Status"": ""Verified""}"
