Hotel_ID,Hotel_Name,Hotel_Cluster,Activity_ID,Activity_Name,Activity_Cluster,Planning_Travel_Band,Recommended_for_Day1,Weather_Fit,Romantic_Score,Data_Status
PFO-H001,Elysium Hotel,C01,PFO-A002,Aphrodite Delights – Loukoumi Geroskipou Visit,C02,15–30 min,Yes,Rain + Heat,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-A003,Ineia Village Centre & Basket-Weaving Heritage,C04,30–45 min,Conditional,Conditional weather,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-A004,Lemba Pottery Private Lesson,C04,30–45 min,Conditional,Rain + Heat,10,Verified
PFO-H001,Elysium Hotel,C01,PFO-A006,"The Place – Arts, Cypriot Crafts & Traditions Creative Experience",C01,0–15 min,No,Rain + Heat,9,Draft
PFO-H001,Elysium Hotel,C01,PFO-A010,Avgoustinos Pottery Workshop Visit / Clay Experience,C02,15–30 min,Conditional,Rain + Heat,10,Needs Recheck
PFO-H001,Elysium Hotel,C01,PFO-A012,Agia Paraskevi Byzantine Church,C02,15–30 min,Yes,Rain + Heat,8,Verified
PFO-H001,Elysium Hotel,C01,PFO-A013,Archaeological Park of Kato Pafos,C01,0–15 min,Yes,Normal weather,8,Verified
PFO-H001,Elysium Hotel,C01,PFO-A014,Early Christian Basilica – St Paul's Pillar – Chrysopolitissa / Agia Kyriaki,C01,0–15 min,Yes,Conditional weather,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-A015,Pafos Medieval Castle,C01,0–15 min,Yes,Conditional weather,10,Verified
PFO-H001,Elysium Hotel,C01,PFO-A016,Saranta Kolones (Forty Columns) Castle,C01,0–15 min,Yes,Normal weather,7,Verified
PFO-H001,Elysium Hotel,C01,PFO-A017,Tombs of the Kings,C01,0–15 min,Yes,Normal weather,8,Verified
PFO-H001,Elysium Hotel,C01,PFO-A019,Pano Arodes Village Walk & Saint Kalandionas,C04,30–45 min,Conditional,Conditional weather,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-A023,Akamas Regional Museum & Live Craft Demonstrations | Regional Museum – Information Centre of Akamas Rural Life and Traditions,C04,30–45 min,Conditional,Rain + Heat,9,Verified
PFO-H001,Elysium Hotel,C01,PFO-A025,Maa–Palaiokastro Museum,C03,15–30 min,Yes,Rain + Heat,7,Verified
PFO-H001,Elysium Hotel,C01,PFO-A026,Episkopi Environmental Information Centre,C08,15–30 min,No,Rain + Heat,7,Draft
PFO-H001,Elysium Hotel,C01,PFO-A028,Byzantine Museum Geroskipou,C02,15–30 min,Yes,Rain + Heat,7,Verified
PFO-H001,Elysium Hotel,C01,PFO-A029,Local Ethnographic Museum of Geroskipou,C02,15–30 min,Yes,Rain + Heat,7,Verified
